"","HRUU1","HRUU10","HRUU11","HRUU12","HRUU13","HRUU14","HRUU15","HRUU16","HRUU17","HRUU18","HRUU19","HRUU2","HRUU20","HRUU21","HRUU22","HRUU23","HRUU24","HRUU25","HRUU26","HRUU3","HRUU4","HRUU5","HRUU6","HRUU7","HRUU8","HRUU9","Domain","Phylum","Class","Order","Family","Genus"
"Parcubacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000941002024580113,0.000878734622144112,0.00116907788981441,0,0,0,0,"Bacteria","Patescibacteria","Parcubacteria","Parcubacteria","Parcubacteria","Parcubacteria"
"Parvibium",0.00272384034519957,0.000744205826068467,0.000573284922606535,0.00156669650850492,0,0,0.00136068662340381,0,0,0,0.0020057498161396,0.00275288092189501,0.00226516599419551,0.0016871704745167,0.00140709945634794,0.00170624200199062,0.000973959401271273,0,0,0,0,0,0,0.00176590695877711,0.00117990436564615,0.00115260488704472,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Parvibium"
"Pedobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202872677107847,0,0,0,0,0,0,0,0,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Pedomicrobium",0.0145631067961165,0.0217680204125027,0.0228221997761459,0.0120113398985378,0.0234501347708895,0.0166777048588115,0.0263763868536739,0.0226221079691517,0.00985741946840345,0.0227526833631485,0.0123687905328609,0.0140845070422535,0.0128123451546684,0.0205272407732865,0.017972497601535,0.015640551684914,0.0238363748205864,0,0,0,0,0,0,0.0184316538822361,0.0227286840961312,0.0194213923467036,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pedomicrobium"
"Pedosphaera",0,0,0,0,0,0,0.00104668201800293,0,0.00146687789708385,0.000670840787119857,0.0010028749080698,0,0.00134494230905359,0,0,0,0,0,0,0,0,0,0,0,0,0.000345781466113416,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Pedosphaera"
"Pedosphaeraceae",0.00264293419633225,0,0,0.00238734706057893,0.00619946091644205,0.00282979107712686,0.00523341009001465,0.00282776349614396,0.00586751158833539,0.0029628801431127,0.00280804974259544,0.00339308578745198,0.00169887449564663,0.00274165202108963,0,0.00277264325323475,0.00287061718269428,0,0,0,0,0,0,0.00275922962308923,0.00546482021983481,0.00685799907791609,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Pedosphaeraceae"
"PeM15",0.00304746494066882,0.000159472677014671,0,0,0.000471698113207547,0,0,0.00070694087403599,0,0.000782647584973166,0,0.00512163892445583,0,0,0,0,0,0.0152154507830885,0.0158259986459039,0.00501867746442727,0.010293748430831,0.0130059915241853,0.013524987869966,0.00104850725677391,0.000434701608395951,0,"Bacteria","Actinobacteriota","Actinobacteria","PeM15","PeM15","PeM15"
"Peredibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000365336840567003,0.000424551188743328,0,0,0,"Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter"
"Phenylobacterium",0,0,0,0,0,0,0,0,0.00322713137358446,0.000335420393559928,0,0.000384122919334187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium"
"Phreatobacter",0.00385652642934196,0.00377418668934723,0.0026753296388305,0.00768427335123844,0.00923180592991914,0.00529833222951412,0.00497173958551392,0.00398457583547558,0.00170157836061726,0.00117397137745975,0.00595039112121415,0.00422535211267606,0.00552134211085156,0.00710017574692443,0.00626798848736808,0.00355467083748045,0.00707402091449662,0,0,0,0,0,0,0.00717399702003201,0.00981183630379432,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Phreatobacter"
"Pirellula",0,0,0,0,0,0,0,0,0.00129085254943379,0,0.000468008290432573,0.000320102432778489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula"
"Planctopirus",0.000161812297734628,0,0,0,0.000741239892183288,0,0.000732677412602052,0.00096401028277635,0.000293375579416769,0,0.0010028749080698,0.000320102432778489,0,0,0.000511672529581068,0.000426560500497654,0.000256305105597704,0,0,0,0,0,0,0.000662215109541416,0.00117990436564615,0.000345781466113416,"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Schlesneriaceae","Planctopirus"
"Planifilum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103105288694808,0,0,0,"Bacteria","Firmicutes","Bacilli","Thermoactinomycetales","Thermoactinomycetaceae","Planifilum"
"Planktothrix_NIVA-CYA_15",0.000296655879180151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Phormidiaceae","Planktothrix_NIVA-CYA_15"
"Plot4-2H12",0,0.000159472677014671,0.000109197128115531,0,0,0.000421458245529532,0.00104668201800293,0.00160668380462725,0,0,0.00040114996322792,0.000384122919334187,0.000637077935867488,0.000351493848857645,0,0,0,0,0,0,0,0,0,0,0.000372601378625101,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Plot4-2H12"
"PLTA13",0,0.000345524133531788,0.000272992820288826,0.00119367353028947,0,0.000842916491059064,0.000366338706301026,0.00057840616966581,0,0,0.00120344988968376,0,0.0014157287463722,0.000773286467486819,0.000639590661976335,0.000426560500497654,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","PLTA13","PLTA13","PLTA13"
"Polaromonas",0.000431499460625674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00275906840866672,0.00211577522004062,0.00196754968775842,0.00301280441877981,0.00832967996492766,0.00430616205725376,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas"
"Polynucleobacter",0.0263754045307443,0.00154156921114182,0.000327591384346592,0.000671441360787825,0.00309973045822102,0,0.00324471425580909,0.00327763496143959,0.00445930880713489,0.00324239713774597,0.00140402487129772,0.0133162612035851,0.0014865151836908,0,0,0,0,0.0236955286861965,0.0225118483412322,0.153611451709487,0.32607331157419,0.0238199620049686,0.0427583697234352,0.00320070636278351,0.00434701608395951,0.00247810050714615,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter"
"Prevotella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Prosthecobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117666152722551,0.00313134732566012,0,0,0.00847581470115446,0.00624696749150898,0,0,0,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter"
"Pseudanabaena_PCC-7429",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000930941096817874,0,0.000376600552347477,0,0,0,0,0,"Bacteria","Cyanobacteria","Cyanobacteriia","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena_PCC-7429"
"Pseudarcicella",0.00188781014023732,0,0,0,0,0,0,0,0,0,0,0.00364916773367478,0,0,0,0,0,0.00121723606264708,0.00143872714962762,0.0609655251076449,0.0384760230981672,0.0108870378488967,0.00824842309558467,0,0,0,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella"
"Pseudohongiella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00182585409397062,0.00232735274204469,0,0.000439367311072056,0.00226508841151542,0.00109170305676856,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudohongiellaceae","Pseudohongiella"
"Pseudolabrys",0,0.000664469487561131,0.00120116840927084,0.00223813786929275,0.00242587601078167,0.00234812451080739,0,0,0.00134952766531714,0,0.00280804974259544,0,0.00276067105542578,0.00274165202108963,0.00166293572113847,0.00191952225223944,0.00235800697149887,0,0,0.000171091277196384,0,0,0,0.00154516858892997,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys"
"Pseudomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000933214314696097,0.000973256601218687,0.000171091277196384,0,0.00116907788981441,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Pseudonocardia",0,0,0,0,0.00491913746630728,0,0.0067510990161189,0,0.000469400927066831,0,0.00173831650732099,0.00211267605633803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia"
"Pseudorhodobacter",0.000431499460625674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00863236289776574,0,0.00138086869194075,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter"
"R7C24",0,0.000159472677014671,0.000327591384346592,0,0,0,0,0.00038560411311054,0.000880126738250308,0.000614937388193202,0,0,0,0.000421792618629174,0.000447713463383435,0.000497653917247263,0,0.00332711190456869,0.003385240352065,0,0.000941501380868692,0.00416483998246383,0.00661086851043183,0,0.000807302987021052,0,"Bacteria","Proteobacteria","Gammaproteobacteria","R7C24","R7C24","R7C24"
"RB41",0,0,0,0,0.000539083557951483,0,0.000366338706301026,0,0,0,0,0.000384122919334187,0.000849437247823317,0.000492091388400703,0,0,0,0,0,0,0,0,0,0,0.000310501148854251,0.00103734439834025,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41"
"RBG-13-54-9",0.00377562028047465,0.00419944716138635,0.0037673009199858,0.011414503133393,0.0139487870619946,0.0108977060629779,0.0150198869583421,0.018573264781491,0.0266385026110427,0.0174418604651163,0.00829043257337701,0.0105633802816901,0.00537976923621434,0.00478031634446397,0.00594819315637992,0.00924214417744917,0.00733032602009432,0,0,0,0,0,0,0.00419402902709563,0.0151524560640874,0.0227639465191332,"Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9","RBG-13-54-9","RBG-13-54-9"
"Reyranella",0.000323624595469256,0.00154156921114182,0.00106467199912642,0.00298418382572366,0.000673854447439353,0.000541874887109399,0.00214569813690601,0.00122107969151671,0.00856656691896967,0.00732334525939177,0.00454636624991643,0,0.0036101083032491,0.00189806678383128,0.00307003517748641,0.00241717616948671,0.0027680951404552,0.000608618031323541,0.00114251861882194,0,0,0,0.000788452207666181,0.000496661332156062,0.00105570390610445,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella"
"Rhizorhapis",0.00107874865156419,0.000265787795024452,0.000218394256231061,0,0.000404312668463612,0,0,0.00070694087403599,0.00105615208590037,0.000670840787119857,0,0.00364916773367478,0.00127415587173498,0.000562390158172232,0,0,0,0.00068976710216668,0.000888625592417062,0.000342182554392769,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Rhizorhapis"
"Rhodobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000303250849102377,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter"
"Rhodococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000424551188743328,0,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"Rhodoferax",0,0,0,0,0,0,0.0015700230270044,0,0,0,0,0,0,0,0,0,0,0.00178527955854905,0.00160798916723087,0.0139154238786393,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax"
"Rhodoluna",0.002319309600863,0,0,0,0,0,0,0,0,0,0,0.00448143405889885,0,0,0,0,0,0.00661364927371582,0.00744752877454299,0.0039636145883829,0.00564900828521215,0.0120561157387111,0.0117054827753518,0,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Rhodoluna"
"Rhodomicrobium",0.000296655879180151,0.00396023814586434,0.00253883322868609,0,0.00633423180592992,0.00505749894635439,0.00481473728281348,0.00475578406169666,0,0,0,0,0,0.00407732864674868,0,0,0.00497231904859545,0,0,0,0,0,0,0.00618067435571988,0.00391231447556356,0.00501383125864454,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodomicrobiaceae","Rhodomicrobium"
"Rhodopila",0,0.000398681692536679,0,0,0,0,0,0,0,0,0,0,0.000707864373186098,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Rhodopila"
"Rhodoplanes",0,0.000637890708058686,0.000436788512462122,0.00149209191286183,0,0,0.000994347917102784,0,0.00123217743355043,0,0.00207260814334425,0,0.0014865151836908,0,0.00179085385353374,0.00135077491824257,0,0,0,0,0,0,0,0,0.001242004595417,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodoplanes"
"Rhodovastum",0,0.00196682968318095,0.00128306625535748,0,0,0,0,0,0.000469400927066831,0.000391323792486583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Rhodovastum"
"Rickettsiella",0.00169902912621359,0.000212630236019562,0,0,0,0,0,0.00051413881748072,0,0.000279516994633274,0,0.00185659411011524,0.000495505061230268,0,0,0,0,0.00462549703805891,0.00550101557210562,0.000313667341526704,0.000753201104694954,0.0108139704807833,0.0117054827753518,0,0,0.00028815122176118,"Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Rickettsiella"
"Romboutsia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000852065243852958,0.000550101557210562,0,0,0.00277655998830922,0.0032144590004852,0,0,0,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia"
"S085",0.000889967637540453,0.00457155007442058,0.00354890666375474,0.000671441360787825,0.00714285714285714,0.00818833162743091,0.00115135021980322,0.0083547557840617,0.00111482720178372,0.00212432915921288,0.00260747476098148,0.00371318822023047,0.00297303036738161,0.00878734622144113,0.00818676047329709,0.0063273140907152,0.00548492925979085,0,0,0,0,0,0,0.00656696650295238,0.00614792274731416,0.00685799907791609,"Bacteria","Chloroflexi","Dehalococcoidia","S085","S085","S085"
"Saccharopolyspora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000211577522004062,0,0,0,0,0,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Saccharopolyspora"
"Sandaracinus",0,7.97363385073357e-05,5.45985640577653e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae","Sandaracinus"
"SBR1031",0,0.00159472677014671,0.00109197128115531,0.00283497463443748,0.00121293800539084,0.00523812390872419,0.00387272346661084,0.00488431876606684,0.00445930880713489,0.00391323792486583,0.0030086247242094,0,0.00552134211085156,0,0,0,0.000512610211195407,0,0,0,0,0,0,0.00369736769493957,0.00223560827175061,0.00605117565698479,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","SBR1031","SBR1031"
"SC-I-84",0.00533980582524272,0.00829257920476292,0.00906336163358904,0.0101462250074605,0.00822102425876011,0.00740562345716178,0.00481473728281348,0.00848329048843188,0.0126151499149211,0.00916815742397138,0.00234004145216287,0.00371318822023047,0.00283145749274439,0.00773286467486819,0.00211064918452191,0.00270154983648514,0.00763789214681156,0.0068976710216668,0.00727826675693974,0,0.000753201104694954,0.0122022504749379,0.0105531295487627,0.0097124882732741,0.00738992734273117,0.00461041954817888,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84","SC-I-84"
"Schlesneria",0.000323624595469256,0,0,0.000522232169501641,0.000741239892183288,0,0.000366338706301026,0,0.000997476970017016,0.000391323792486583,0.00140402487129772,0.00115236875800256,0.000849437247823317,0,0.000319795330988168,0,0,0,0,0,0,0,0,0,0.000683102527479352,0.000518672199170124,"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Schlesneriaceae","Schlesneria"
"Sediminibacterium",0.0058252427184466,0,0,0,0,0,0.000523341009001465,0,0,0,0,0.00556978233034571,0,0,0,0,0,0.00352998458167654,0.00321597833446175,0.0430579714277567,0.0353376851619382,0.0170977641385357,0.0117661329451722,0,0,0.000345781466113416,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium"
"SH-PL14",0.00531283710895361,0.000132893897512226,0.000573284922606535,0.00253655625186511,0.00121293800539084,0.000662291528689265,0.00287837554950806,0.0032133676092545,0,0.000279516994633274,0.00187203316173029,0.0029449423815621,0.0021943795568769,0.00203866432337434,0.00147105852254557,0,0.0011277424646299,0,0,0,0,0,0,0.00297996799293637,0.00534061976029311,0.00103734439834025,"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","SH-PL14"
"SH3-11",0,0,0,0,0,0,0,0,0.00105615208590037,0.000335420393559928,0,0.000384122919334187,0,0,0,0,0,0.000852065243852958,0.00126946513202437,0,0,0.000803741049247406,0,0,0,0,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","SH3-11"
"Sideroxydans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000439367311072056,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans"
"Silvanigrella",0.00204962243797195,0,0,0,0,0,0,0.0006426735218509,0,0,0,0.00275288092189501,0,0,0,0,0,0.00312423922746085,0.00156567366283006,0.00416322107844535,0.00652774290735626,0.000365336840567003,0.000424551188743328,0,0,0,"Bacteria","Bdellovibrionota","Oligoflexia","Silvanigrellales","Silvanigrellaceae","Silvanigrella"
"SL56_marine_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00271849387324515,0.00211577522004062,0,0.000376600552347477,0.00189975157094841,0.00369966035904901,0,0,0,"Bacteria","Chloroflexi","SL56_marine_group","SL56_marine_group","SL56_marine_group","SL56_marine_group"
"SM1A02",0.000296655879180151,0.00100999362109292,0.00101007343506866,0.00201432408236347,0.00235849056603774,0.0010837497742188,0.00183169353150513,0.00282776349614396,0.00475268438655166,0.00380143112701252,0.00381092465066524,0.000320102432778489,0.00339774899129327,0.00147627416520211,0.00159897665494084,0.00255936300298592,0.00153783063358622,0,0,0,0,0,0,0.00171072236631532,0.00335341240762591,0.00167127708621485,"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02"
"SM1A07",0,0.000797363385073357,0.000464087794491005,0.00149209191286183,0.00148247978436658,0.00138479137816846,0.00120368432070337,0,0,0,0.00240689977936752,0,0.0014865151836908,0.00196836555360281,0.00166293572113847,0.0031281103369828,0.00158909165470576,0,0,0,0,0,0,0.00104850725677391,0.00267030988014656,0.000461041954817888,"Bacteria","Bacteroidota","Bacteroidia","SM1A07","SM1A07","SM1A07"
"Sphingomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000527468960480402,0.000719363574813812,0,0,0,0.000545851528384279,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Sphingorhabdus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00073034163758825,0.00050778605280975,0,0,0,0.00169820475497331,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus"
"Sporichthya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000649192566745111,0,0,0,0,0,0,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae","Sporichthya"
"Sporichthyaceae",0.0206040992448759,0.00151499043163938,0,0,0.00195417789757412,0,0.00334938245760938,0.00404884318766067,0,0,0.00227318312495821,0.00435339308578745,0.00212359311955829,0,0,0.000782027584245699,0,0.04033108820904,0.0453199052132701,0.0410619065271322,0.0272407732864675,0.0123483852111647,0.0157690441533236,0,0.00304291125877166,0.00155601659751037,"Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae","Sporichthyaceae"
"Streptococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"Streptomyces",0.000377562028047465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034488355108334,0.00228503723764387,0.00028515212866064,0,0.0112523746894637,0.00382096069868996,0,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"Subgroup_10",0,0,0,0.00044762757385855,0,0,0,0,0,0.000279516994633274,0,0,0,0,0,0,0,0,0.000211577522004062,0,0,0,0,0,0,0,"Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10"
"Subgroup_11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000256305105597704,0,0,0,0,0,0,0,0,0.000518672199170124,"Bacteria","Acidobacteriota","Subgroup_11","Subgroup_11","Subgroup_11","Subgroup_11"
"Subgroup_17",0,0,0,0,0,0,0,0,0,0,0,0.000320102432778489,0,0,0,0,0,0,0.000423155044008125,0,0,0,0.000727802037845706,0,0,0,"Bacteria","Acidobacteriota","Vicinamibacteria","Subgroup_17","Subgroup_17","Subgroup_17"
"Subgroup_18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000243447212529417,0,0,0,0,0,0,0,0,"Bacteria","Acidobacteriota","Subgroup_18","Subgroup_18","Subgroup_18","Subgroup_18"
"Subgroup_2",0,0,0,0,0,0,0,0.00032133676092545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_2","Subgroup_2","Subgroup_2"
"Subgroup_7",0.00102481121898598,0.00100999362109292,0.000382189948404357,0.00111906893464637,0.00134770889487871,0.001806249623698,0.00167469122880469,0.00173521850899743,0,0,0.00147088319850237,0.00166453265044814,0.00261909818078856,0.00133567662565905,0.0013431403901503,0.00106640125124413,0.000973959401271273,0,0.000253893026404875,0,0,0,0,0.00137961481154462,0.00130410482518785,0.00184416781927155,"Bacteria","Acidobacteriota","Holophagae","Subgroup_7","Subgroup_7","Subgroup_7"
"Sulfuritalea",0.00102481121898598,0.00050499681054646,0,0,0.0011455525606469,0.00102354145342886,0.000942013816202638,0.00167095115681234,0,0.000838550983899821,0.00180517483452564,0.00172855313700384,0.0014865151836908,0.000843585237258348,0.00121522225775504,0.00163514858524101,0,0,0.00156567366283006,0.000370697767258833,0,0,0,0.00115887644169748,0,0.000749193176579069,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea"
"SWB02",0.000134843581445523,0.0014086753136296,0.00128306625535748,0.00134288272157565,0.00222371967654987,0.00222770786922753,0.00214569813690601,0.00205655526992288,0.00492870973420173,0.00547853309481216,0.00715384101089791,0.00121638924455826,0.00750336235577263,0.00421792618629174,0.00345378957467221,0.00177733541874022,0.00199917982366209,0.000243447212529417,0.000211577522004062,0,0,0,0,0.00220738369847139,0.0019872073526672,0.00293914246196404,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","SWB02"
"Symbiobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000365336840567003,0,0,0,0,"Bacteria","Firmicutes","Symbiobacteriia","Symbiobacteriales","Symbiobacteraceae","Symbiobacterium"
"Syntrophus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000253893026404875,0,0,0,0,0,0,0,"Bacteria","Desulfobacterota","Syntrophia","Syntrophales","Syntrophaceae","Syntrophus"
"T34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000171091277196384,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","T34","T34"
"Terrimicrobium",0,0,0,0,0.000336927223719677,0,0.000261670504500733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae","Terrimicrobium"
"Terrimonas",0.00132146709816613,0.000372102913034233,0.00040948923043324,0,0,0,0.000523341009001465,0,0.000880126738250308,0,0,0.00224071702944942,0,0.00196836555360281,0.0015350175887432,0.00255936300298592,0.0013840475702276,0,0.000761679079214624,0,0,0,0,0.00187627614370068,0.00273241010991741,0.00103734439834025,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas"
"Thermoactinomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000909752547307132,0,0,0,"Bacteria","Firmicutes","Bacilli","Thermoactinomycetales","Thermoactinomycetaceae","Thermoactinomyces"
"Thermobispora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000363901018922853,0,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Thermobispora"
"Thiothrix",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000211577522004062,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Thiothrix"
"TK10",0,0.000159472677014671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Chloroflexi","TK10","TK10","TK10","TK10"
"TM7a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000568043495901972,0.000380839539607312,0,0,0,0.000606501698204755,0,0,0,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","TM7a"
"TRA3-20",0.00342502696871629,0.00624601318307463,0.00657912696896072,0.00716204118173679,0.00990566037735849,0.00830874826901078,0.00293070965040821,0.00719794344473008,0.00668896321070234,0.00301878354203936,0.00768870762853513,0.00518565941101152,0.0134494230905359,0.00471001757469244,0.00217460825071954,0.0015640551684914,0.0057924953865081,0.00247504666071574,0.00351218686526743,0.00513273831589153,0.00533517449158925,0.00957182522285547,0.00485201358563804,0.00435958280448099,0.0116748431969198,0.00121023513139696,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","TRA3-20","TRA3-20"
