"","HRUU1","HRUU10","HRUU11","HRUU12","HRUU13","HRUU14","HRUU15","HRUU16","HRUU17","HRUU18","HRUU19","HRUU2","HRUU20","HRUU21","HRUU22","HRUU23","HRUU24","HRUU25","HRUU26","HRUU3","HRUU4","HRUU5","HRUU6","HRUU7","HRUU8","HRUU9"
"Gemellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemmataceae",3321,1919,1253,1110,1747,1643,2106,1393,1707,1576,1235,1445,1545,1595,1102,1207,1728,64,64,0,0,48,55,2067,1823,2375
"Gemmatimonadaceae",78,212,170,75,94,102,102,20,74,30,51,71,31,110,144,109,121,26,19,0,0,18,7,73,110,126
"Geobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"GW2011_GWC1_47_15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"Haliangiaceae",6,15,16,0,18,7,0,14,5,0,88,6,26,10,21,0,14,0,0,0,0,0,0,6,8,6
"Halieaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
"Holophagaceae",8,6,5,6,0,0,6,12,6,14,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,6
"Holosporaceae",0,23,31,29,25,0,6,0,11,0,38,11,23,7,12,30,20,15,0,0,0,5,0,22,13,0
"Hyphomicrobiaceae",1891,2225,2232,1156,1233,1218,1381,971,939,1054,566,854,714,1425,1034,733,1555,39,19,0,14,17,5,1294,1023,1116
"Hyphomonadaceae",16,92,92,40,68,68,87,54,148,153,121,42,140,87,80,52,59,6,26,0,0,0,8,62,53,70
"Iamiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
"Ilumatobacteraceae",492,890,810,145,114,287,421,202,299,537,297,187,254,73,149,90,316,234,300,32,35,186,182,339,256,347
"IMCC26256",38,134,102,79,75,74,113,97,24,8,86,34,90,92,66,41,123,10,12,0,0,15,0,97,60,95
"Intrasporangiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"Isosphaeraceae",798,311,325,240,365,309,420,336,312,753,160,308,130,155,101,118,310,615,784,38,62,180,320,407,221,482
"JG30-KF-CM45",751,679,800,0,165,230,258,211,259,0,505,144,223,0,441,469,172,0,0,0,0,0,0,209,167,282
"JG30-KF-CM66",83,263,182,123,272,108,224,265,53,54,235,25,205,255,80,77,178,0,0,0,0,0,0,285,130,243
"JG36-TzT-191",385,1047,808,221,183,339,277,350,291,478,460,200,503,303,106,63,371,0,0,0,0,0,0,511,333,267
"Kaistiaceae",41,202,157,91,0,247,0,0,75,51,85,38,95,84,0,0,79,0,0,0,0,0,0,62,0,0
"Kapabacteriales",332,83,106,117,159,150,186,158,119,75,0,119,0,90,77,68,168,2,5,0,0,0,0,105,163,100
"KD4-96",35,58,33,66,53,98,125,5,24,5,13,35,11,31,60,27,24,28,22,0,0,6,38,96,90,103
"Kineosporiaceae",0,0,0,0,0,12,0,9,0,0,30,0,40,0,12,8,10,0,8,0,0,0,0,10,0,0
"Lachnospiraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"Lactobacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Latescibacterota",0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Legionellaceae",18,10,11,17,8,27,17,22,28,30,39,21,24,25,26,13,22,63,51,10,13,42,0,7,0,9
"Lentimicrobiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"Leptolyngbyaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
"Limnochordaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0
"LiUU-11-161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"LWQ8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0
"Margulisbacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"Methanoregulaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"Methylomonadaceae",84,465,308,104,109,18,10,15,19,20,31,67,28,60,164,145,79,228,132,51,47,43,155,128,5,160
"Methylophilaceae",488,64,43,8,21,29,53,42,165,147,43,193,59,0,0,0,15,588,402,806,330,408,697,27,71,0
"Methylopilaceae",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microbacteriaceae",1111,82,14,0,48,21,96,115,142,142,135,381,106,0,13,0,0,2806,2937,1750,732,1250,1828,45,52,56
"Micrococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
"Microcystaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,28,13,0,0,0
"Micromonosporaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,20,0,13,50,92,0,8,0
"Micropepsaceae",0,7,5,0,7,0,10,7,32,16,4,13,6,0,0,5,0,8,12,0,0,0,6,0,0,0
"Microscillaceae",43,127,131,143,194,101,70,131,202,141,175,33,70,108,28,20,77,0,0,4,0,8,0,66,105,98
"Microtrichaceae",198,224,187,127,168,213,211,161,198,171,56,87,42,50,112,97,205,51,57,7,0,34,47,185,86,182
"Mitochondria",0,6,0,0,7,5,0,0,9,0,34,0,11,0,0,0,0,17,32,27,39,0,0,0,0,0
"mle1-27",9,0,0,0,0,0,0,0,7,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moraxellaceae",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,5,0,0,5,11,0,0,0
"MWH-UniP1_aquatic_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"Mycobacteriaceae",169,18,33,33,19,39,52,33,11,0,13,99,0,0,17,0,0,269,274,260,158,269,218,7,0,15
"NB1-j",0,0,0,5,0,0,6,0,0,0,18,0,17,11,5,9,8,0,0,0,0,0,0,13,12,7
"Neisseriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,11,0,0,0,0
"Nitrosomonadaceae",189,217,185,134,223,211,233,182,210,227,196,145,211,157,41,112,195,81,175,0,0,43,0,171,204,67
"Nitrospiraceae",305,2293,2676,206,420,454,427,312,231,239,353,199,345,214,674,784,693,9,13,0,0,0,0,689,345,320
"Nocardiaceae",0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,5,0,0,8,14,0,0,0
"Nocardioidaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"NS11-12_marine_group",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,118,57,89,70,0,0,0
"NS9_marine_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,39,0,0,46,53,0,0,0
"Obscuribacteraceae",14,0,0,9,9,6,21,18,5,0,7,19,0,6,14,7,0,0,0,0,0,0,0,18,0,13
"OLB14",576,856,877,246,230,197,239,270,44,127,134,153,158,341,722,598,327,0,6,0,0,0,0,188,256,157
"Oligoflexaceae",0,0,0,0,0,0,0,0,11,26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OM190",24,57,55,78,102,109,152,113,36,0,5,11,37,103,90,55,89,0,0,0,0,0,0,165,89,10
"Opitutaceae",11,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,66,58,135,98,76,24,0,0,0
"Oxalobacteraceae",118,44,31,31,24,39,49,51,67,44,46,136,41,23,0,0,0,665,542,511,389,382,421,51,37,36
"Paenibacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"Paracaedibacteraceae",0,30,12,0,21,37,24,0,0,0,84,5,40,0,24,23,6,0,0,0,0,0,0,25,0,0
"Parachlamydiaceae",22,60,96,128,138,111,133,46,120,34,85,10,14,147,120,123,162,14,13,0,0,5,23,83,129,118
"Parcubacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,14,16,0,0,0,0
"Parvibaculaceae",0,7,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0,0,0,0,0,0,0,7,0,0
"Pasteurellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pedosphaeraceae",154,128,66,86,215,166,242,187,300,172,171,100,139,96,62,124,112,44,52,0,0,20,0,130,181,287
"PeM15",113,6,0,0,7,0,0,11,0,14,0,80,0,0,0,0,0,375,374,176,164,178,223,19,7,0
"Peptostreptococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,24,0,5,57,81,0,0,0
"Phormidiaceae",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phycisphaeraceae",11,38,37,27,35,18,35,44,81,68,57,5,48,21,25,36,30,0,0,0,0,0,0,31,54,29
"Pirellulaceae",62,70,0,6,26,49,42,13,59,41,29,77,6,35,62,45,19,6,0,0,0,0,17,94,80,170
"Pleomorphomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"PLTA13",0,13,10,16,0,14,7,9,0,0,18,0,20,11,10,6,0,0,0,0,0,0,0,0,0,0
"Polyangiaceae",0,35,29,29,20,30,19,27,58,31,51,14,21,18,28,14,14,0,0,0,0,0,5,18,41,12
"Prevotellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Propionibacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudanabaenaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,6,0,0,0,0,0
"Pseudohongiellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,0,7,31,18,0,0,0
"Pseudomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,6,0,16,0,0,0,0
"Pseudonocardiaceae",51,0,0,0,73,70,129,85,8,0,26,33,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"Puniceicoccaceae",0,0,0,0,0,0,0,0,0,0,26,5,0,0,5,0,6,0,0,0,0,0,0,0,0,0
"Pyrinomonadaceae",0,0,0,0,8,0,7,0,0,0,0,6,12,7,0,0,0,0,0,0,0,0,0,0,5,18
"R7C24",0,6,12,0,0,0,0,6,15,11,0,0,0,6,7,7,0,82,80,0,15,57,109,0,13,0
"RBG-13-54-9",140,158,138,153,207,181,287,289,454,312,124,165,76,68,93,130,143,0,0,0,0,0,0,76,244,395
"Reyranellaceae",90,466,409,139,10,89,41,19,269,131,68,53,51,161,48,34,185,15,27,0,0,0,13,111,17,0
"Rhizobiaceae",0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,16,0,0,0,0,9,0,0,0
"Rhizobiales_Incertae_Sedis",294,254,176,175,191,176,166,123,127,127,164,156,129,187,141,86,230,144,195,31,46,116,98,206,239,52
"Rhodobacteraceae",54,6,0,0,10,0,21,0,0,14,0,45,6,0,0,0,0,533,449,26,22,274,371,13,0,8
"Rhodocyclaceae",147,121,99,16,127,90,45,145,135,87,93,82,54,97,74,62,99,206,266,21,13,61,150,129,76,103
"Rhodomicrobiaceae",11,149,93,0,94,84,92,74,0,0,0,0,0,58,0,0,97,0,0,0,0,0,0,112,63,87
"Rhodospirillaceae",10,0,0,0,0,0,0,6,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rickettsiaceae",0,5,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,20,0,3,0,0,0,0,0,0
"Roseiflexaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,0,0,15,20,0,0,0
"Rubinisphaeraceae",197,5,21,34,18,11,55,50,0,5,28,46,31,29,23,0,22,0,0,0,0,0,0,54,86,18
"Rubritaleaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,37,0,0,47,32,0,0,0
"S085",33,172,130,9,106,136,22,130,19,38,39,58,42,125,128,89,107,0,0,0,0,0,0,119,99,119
"Saccharimonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0,0,0,10,0,0,0
"Sandaracinaceae",0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saprospiraceae",54,11,0,8,9,7,5,17,79,49,22,43,24,14,0,11,7,0,0,0,0,0,6,17,29,0
"SBR1031",0,60,40,38,18,87,74,76,76,70,45,0,78,0,0,0,10,0,0,0,0,0,0,67,36,105
"SC-I-84",198,312,332,136,122,123,92,132,215,164,35,58,40,110,33,38,149,170,172,0,12,167,174,176,119,80
"Schlesneriaceae",18,0,0,7,22,0,21,15,22,7,36,23,12,0,13,6,5,0,0,0,0,0,0,12,30,15
"Selenomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"Silvanigrellaceae",76,0,0,0,0,0,0,10,0,0,0,43,0,0,0,0,0,77,37,146,104,5,7,0,0,0
"Simkaniaceae",5,16,33,56,65,48,64,53,0,0,73,5,36,31,25,0,53,37,58,0,0,20,19,28,73,57
"SL56_marine_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,50,0,6,26,61,0,0,0
"SM1A07",0,30,17,20,22,23,23,0,0,0,36,0,21,28,26,44,31,0,0,0,0,0,0,19,43,8
"Solibacteraceae",0,0,0,7,0,5,0,0,0,0,0,0,0,0,8,11,8,0,0,0,0,0,0,0,0,7
"Sphingobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,17,0,0,0,0
"Sphingomonadaceae",557,321,332,122,33,167,288,99,347,289,211,299,270,114,69,28,161,316,349,48,7,101,120,151,143,221
"Spirosomaceae",85,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,94,113,2148,620,177,152,0,0,0
"Spongiibacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,29,0,5,12,20,0,0,0
"Sporichthyaceae",6085,252,57,29,148,22,239,276,250,259,160,1254,169,0,66,47,14,7376,6760,9652,3236,2965,2842,81,306,175
"Steroidobacteraceae",13,16,18,0,13,25,52,49,69,56,19,8,24,37,32,43,25,62,15,0,0,0,0,24,19,11
"Streptococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptomycetaceae",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,167,10,0,290,102,0,0,0
"Streptosporangiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,5,0,0,0
"Subgroup_11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9
"Subgroup_17",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,12,0,0,0
"Subgroup_18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"Subgroup_2",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subgroup_7",38,38,14,15,20,30,32,27,0,0,22,26,37,19,21,15,19,0,6,0,0,0,0,25,21,32
"Sutterellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,16,0,0,0,0,0,0,0
"Symbiobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"Syntrophaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"T34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"Terrimicrobiaceae",0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0
"Thermoactinomycetaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
"Thermoanaerobaculaceae",0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"Thermomonosporaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,43,0,0,0
"Thiotrichaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"TK10",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRA3-20",127,235,241,96,147,138,56,112,114,54,115,81,190,67,34,22,113,61,83,180,85,131,80,79,188,21
"uncultured",805,1337,1249,656,547,981,995,661,935,545,440,532,391,634,1095,866,1040,277,190,51,49,472,563,769,937,938
"Unknown",4442,8311,9427,3326,2419,3037,2893,2323,3128,4439,2901,2164,2553,3419,3084,2690,4437,454,400,230,206,435,564,3090,2658,2950
"Unknown_Family",53,38,52,46,32,53,70,35,100,48,0,25,24,21,35,27,20,0,8,0,0,0,0,73,32,37
"URHD0088",0,0,0,0,0,0,0,0,0,14,0,0,5,6,5,0,0,0,0,0,0,0,0,0,0,0
"Veillonellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vermiphilaceae",0,8,0,14,0,0,0,0,0,0,29,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
"Verrucomicrobiaceae",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,156,194,0,8,243,279,0,0,0
"Vicinamibacteraceae",126,163,149,113,230,140,101,174,189,199,147,81,82,65,73,98,164,8,5,0,0,0,16,83,156,92
"WD260",161,656,914,242,89,104,158,120,115,60,45,75,35,160,228,267,214,6,0,6,0,0,0,52,0,0
"WPS-2",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xanthobacteraceae",163,695,805,121,238,170,129,154,105,202,275,44,196,225,530,383,543,22,0,6,0,0,34,236,360,279
"Xanthomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,11,0,0,0
"Xiphinematobacteraceae",6,0,6,6,0,0,0,0,0,0,8,9,5,0,7,7,0,11,0,0,8,0,0,7,0,8
"Zavarziniaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,0,0,0,12,0,0,0
